DateTime,RealPower,ReactivePower
2/29/2020 23:45,37.652,12.895
2/29/2020 23:30,38.581,12.712
2/29/2020 23:15,39.583,12.533
2/29/2020 23:00,40.414,12.452
2/29/2020 22:45,41.088,12.76
2/29/2020 22:30,41.595,12.643
2/29/2020 22:15,42.027,12.396
2/29/2020 22:00,40.701,12.402
2/29/2020 21:45,41.977,12.436
2/29/2020 21:30,41.662,12.052
2/29/2020 21:15,43.962,12.788
2/29/2020 21:00,57.642,17.147
2/29/2020 20:45,59.62,17.624
2/29/2020 20:30,59.47,17.857
2/29/2020 20:15,59.733,17.793
2/29/2020 20:00,61.118,17.507
2/29/2020 19:45,65.776,17.077
2/29/2020 19:30,65.732,16.82
2/29/2020 19:15,66.926,16.807
2/29/2020 19:00,67.335,17.807
2/29/2020 18:45,67.454,16.161
2/29/2020 18:30,67.821,16.189
2/29/2020 18:15,68.314,16.246
2/29/2020 18:00,68.105,15.973
2/29/2020 17:45,67.326,17.08
2/29/2020 17:30,61.05,15.71
2/29/2020 17:15,62.877,17.044
2/29/2020 17:00,61.561,18.378
2/29/2020 16:45,57.81,17.971
2/29/2020 16:30,56.443,18.06
2/29/2020 16:15,55.314,17.739
2/29/2020 16:00,56.647,18.22
2/29/2020 15:45,57.467,18.878
2/29/2020 15:30,55.287,17.631
2/29/2020 15:15,60.198,18.855
2/29/2020 15:00,56.076,19.694
2/29/2020 14:45,57.827,18.33
2/29/2020 14:30,58.942,20.583
2/29/2020 14:15,57.565,19.505
2/29/2020 14:00,55.43,19.932
2/29/2020 13:45,54.505,18.047
2/29/2020 13:30,64.665,18.535
2/29/2020 13:15,62.203,17.112
2/29/2020 13:00,60.159,16.677
2/29/2020 12:45,63.896,19.016
2/29/2020 12:30,64.885,19.665
2/29/2020 12:15,66.851,22.535
2/29/2020 12:00,62.737,17.456
2/29/2020 11:45,65.744,21.023
2/29/2020 11:30,63.107,19.11
2/29/2020 11:15,61.059,18.032
2/29/2020 11:00,60.727,19.224
2/29/2020 10:45,59.771,17.199
2/29/2020 10:30,57.389,18.289
2/29/2020 10:15,55.879,17.119
2/29/2020 10:00,58.199,18.954
2/29/2020 9:45,60.073,20.809
2/29/2020 9:30,60.13,19.236
2/29/2020 9:15,59.001,19.006
2/29/2020 9:00,58.668,17.918
2/29/2020 8:45,59.901,19.986
2/29/2020 8:30,58.466,17.776
2/29/2020 8:15,61.428,21.701
2/29/2020 8:00,63.585,22.168
2/29/2020 7:45,62.329,20.902
2/29/2020 7:30,60.812,18.53
2/29/2020 7:15,63.051,18.181
2/29/2020 7:00,55.801,18.826
2/29/2020 6:45,54.287,17.609
2/29/2020 6:30,60.556,17.683
2/29/2020 6:15,63.252,17.719
2/29/2020 6:00,41.378,12.872
2/29/2020 5:45,34.626,13.667
2/29/2020 5:30,34.924,14.036
2/29/2020 5:15,34.939,13.841
2/29/2020 5:00,34.582,13.915
2/29/2020 4:45,34.424,13.887
2/29/2020 4:30,34.735,14.236
2/29/2020 4:15,34.426,13.751
2/29/2020 4:00,34.63,13.912
2/29/2020 3:45,34.223,13.794
2/29/2020 3:30,34.689,14.222
2/29/2020 3:15,34.826,14.555
2/29/2020 3:00,34.835,14.224
2/29/2020 2:45,34.916,14.334
2/29/2020 2:30,35.035,14.586
2/29/2020 2:15,35.203,13.919
2/29/2020 2:00,36.14,14.003
2/29/2020 1:45,36.719,14.501
2/29/2020 1:30,35.506,14.035
2/29/2020 1:15,35.946,14
2/29/2020 1:00,36.504,14.67
2/29/2020 0:45,37.358,15.27
2/29/2020 0:30,37.117,14.453
2/29/2020 0:15,36.967,14.377
2/29/2020 0:00,36.142,13.657
2/28/2020 23:45,37.633,13.662
2/28/2020 23:30,41.688,12.981
2/28/2020 23:15,48.638,12.864
2/28/2020 23:00,43.123,15.527
2/28/2020 22:45,42.74,12.538
2/28/2020 22:30,38.829,13.556
2/28/2020 22:15,38.657,13.855
2/28/2020 22:00,38.856,14.305
2/28/2020 21:45,38.957,13.512
2/28/2020 21:30,38.9,12.871
2/28/2020 21:15,39.28,13.299
2/28/2020 21:00,54.01,17.801
2/28/2020 20:45,55.359,17.94
2/28/2020 20:30,57.489,18.044
2/28/2020 20:15,60.696,17.181
2/28/2020 20:00,61.867,17.871
2/28/2020 19:45,65.275,18.4
2/28/2020 19:30,66.761,18.179
2/28/2020 19:15,68.328,16.823
2/28/2020 19:00,67.832,17.078
2/28/2020 18:45,66.18,16.298
2/28/2020 18:30,68.305,17.011
2/28/2020 18:15,69.753,18.089
2/28/2020 18:00,69.8,17.432
2/28/2020 17:45,69.068,15.772
2/28/2020 17:30,66.983,18.313
2/28/2020 17:15,67.652,15.942
2/28/2020 17:00,68.17,20.389
2/28/2020 16:45,65.639,18.194
2/28/2020 16:30,67.498,19.722
2/28/2020 16:15,74.133,15.936
2/28/2020 16:00,86.132,22.159
2/28/2020 15:45,82.109,17.846
2/28/2020 15:30,81.245,17.549
2/28/2020 15:15,77.007,16.929
2/28/2020 15:00,77.671,16.084
2/28/2020 14:45,82.808,16.257
2/28/2020 14:30,91.26,24.948
2/28/2020 14:15,83.649,18.161
2/28/2020 14:00,89.669,29.166
2/28/2020 13:45,76.048,16.136
2/28/2020 13:30,78.458,15.554
2/28/2020 13:15,84.815,20.983
2/28/2020 13:00,83.762,24.279
2/28/2020 12:45,78.295,22.275
2/28/2020 12:30,79.419,25.212
2/28/2020 12:15,74.471,22.304
