,Turbine #1,Turbine #2,Turbine #3,Turbine #4,Turbine #5,Turbine #6,Turbine #7,Turbine #8,Turbine #9,Turbine #10
Latitude,0,0.0036414,0.0079748,0.0023637,0.0067803,0.011197,0.0156137,0.0122248,0.0166414,0.0211137
Longitude,0.0134577,0.0060278,0,0.0271111,0.021,0.0148611,0.00875,0.03275,0.0265556,0.0204445
,,,,,,,,,,
7/1/2007 0:00,6.716666667,6.266666667,6.666666667,6.866666667,6.783333333,6.416666667,6.35,6.116666667,6.333333333,6.133333333
7/1/2007 1:00,7.266666667,6.816666667,7.3,7.433333333,7.233333333,7.05,6.95,6.883333333,6.883333333,6.783333333
7/1/2007 2:00,6.466666667,6.016666667,6.583333333,6.55,6.35,6.7,6.6,5.85,6.183333333,6.333333333
7/1/2007 3:00,6.366666667,5.8,6.466666667,6.316666667,6.283333333,6.116666667,6.183333333,5.983333333,6.333333333,6.083333333
7/1/2007 4:00,6.916666667,6.316666667,7.116666667,7.033333333,7.083333333,7.416666667,7.033333333,6.75,6.85,6.716666667
7/1/2007 5:00,6.983333333,6.533333333,7.383333333,7.266666667,7.866666667,8.333333333,8.033333333,7.066666667,7.333333333,6.75
7/1/2007 6:00,6.783333333,5.766666667,6.533333333,7.033333333,6.3,6.916666667,6.566666667,6.6,6.233333333,5.983333333
7/1/2007 7:00,11.28333333,10.9,11.43333333,11.45,11.58333333,11.2,10.61666667,10.06666667,10.66666667,10.2
7/1/2007 8:00,10.83333333,10.51666667,11.01666667,11.2,11.38333333,10.75,10.26666667,10.01666667,10.96666667,10.68333333
7/1/2007 9:00,9.633333333,9.116666667,9.733333333,9.833333333,9.85,9.5,8.633333333,8.9,9.466666667,9.033333333
7/1/2007 10:00,10.05,9.8,10.66666667,10.55,10.23333333,10.43333333,10.4,9.2,9.566666667,9.233333333
7/1/2007 11:00,10.03333333,9.683333333,10.28333333,10.55,9.233333333,9.05,8.95,9.283333333,10.2,9.883333333
7/1/2007 12:00,10.58333333,10.26666667,10.85,10.96666667,10.98333333,10.81666667,10.6,9.35,10.18333333,9.9
7/1/2007 13:00,10.71666667,10.43333333,11.03333333,11.16666667,10.7,10.71666667,10.36666667,9.816666667,10.65,10.55
7/1/2007 14:00,11.73333333,11.4,12.15,12.1,12.5,12.28333333,11.91666667,10.43333333,11.25,11.05
7/1/2007 15:00,11.5,11.5,12.1,12.18333333,12.58333333,12.51666667,12.1,10.03333333,10.75,10.58333333
7/1/2007 16:00,10.46666667,10.15,10.8,10.91666667,11.11666667,11.03333333,10.81666667,9.5,10.23333333,10.15
7/1/2007 17:00,10.56666667,10.45,11.25,10.93333333,11.03333333,11.26666667,11.08333333,8.983333333,9.55,9.6
7/1/2007 18:00,10.4,10.31666667,10.88333333,10.73333333,11.11666667,11.21666667,10.88333333,8.633333333,9.883333333,9.65
7/1/2007 19:00,8.7,8.5,8.95,8.883333333,8.266666667,8.316666667,8.15,8.066666667,8.933333333,8.7
7/1/2007 20:00,8.183333333,7.883333333,8.5,8.466666667,8.116666667,7.966666667,7.866666667,7.566666667,7.833333333,7.633333333
7/1/2007 21:00,8.433333333,8.216666667,8.783333333,8.983333333,8.866666667,8.85,8.65,7.566666667,8.1,7.716666667
7/1/2007 22:00,8.95,8.733333333,9.133333333,9.45,9.35,9.316666667,9.066666667,7.833333333,8.316666667,7.883333333
7/1/2007 23:00,9.583333333,9.366666667,10,10.26666667,10.18333333,10.28333333,9.933333333,8.366666667,8.783333333,8.533333333
7/2/2007 0:00,8.966666667,8.9,9.566666667,9.216666667,9.333333333,9.583333333,9.316666667,8.083333333,8.416666667,8.416666667
7/2/2007 1:00,6.85,6.433333333,6.766666667,7.2,7.016666667,6.9,6.55,6.516666667,6.633333333,6.383333333
7/2/2007 2:00,7.733333333,7.383333333,8.283333333,8.3,8.15,7.65,7.866666667,7.316666667,7.516666667,7.116666667
7/2/2007 3:00,8.633333333,8.166666667,8.666666667,8.783333333,8.983333333,8.9,8.666666667,7.083333333,7.683333333,7.466666667
