s1,s2
-13.7308,-2.1201
-13.5137,-2.009
-12.4341,-2.1194
-12.1491,-2.4511
-12.1523,-2.0115
-11.5275,-2.1179
-11.1422,-2.0364
-11.4532,-1.443
-11.1174,-1.3993
-10.7169,-1.4907
-10.3955,-1.5413
-10.151,-1.4063
-10.6714,-2.1017
-10.3164,-2.045
-10.025,-2.4202
-9.4714,-2.356
-9.6484,-1.9311
-8.3521,-1.9551
-8.0662,-1.8545
-7.7481,-1.7329
-8.4167,-1.2915
-8.092,-1.2544
-7.8155,-1.3735
-7.1546,-1.4042
-7.3068,-0.7941
-7.0694,-0.6663
-6.0911,-0.9421
-5.815,-1.2771
-5.4075,-1.2374
-5.3755,-0.7849
-5.7304,-0.8369
-6.7046,-1.7161
-6.7005,-2.2271
-6.4184,-2.1174
-5.0753,-1.493
-4.8266,-1.9321
-5.1808,-2.066
-5.2771,-2.2963
-5.6011,-2.3475
-4.6252,-2.1932
-4.2868,-1.4645
-4.0021,-1.377
-3.6873,-1.3324
-4.1229,-0.9267
-3.7892,-0.8911
-3.4948,-0.8192
-3.1901,-0.7252
-2.9597,-1.1773
-2.6693,-1.1047
-3.4089,-1.9126
-3.2146,-1.6684
-2.1521,-0.6218
-1.9696,-0.8179
-1.0868,-0.5602
-1.4451,-0.894
-1.025,-0.9494
-0.7158,-0.8899
-0.4153,-0.8084
-0.1014,-0.758
0.1688,-0.646
-1.1374,-1.6425
-1.8009,-1.9099
-2.0288,-2.0714
-0.9402,-0.1064
-1.774,0.4847
-2.0521,0.3648
-1.9635,1.1945
-1.7593,1.3676
-1.8855,1.5312
-2.3973,1.7183
-2.8544,1.6449
-7.055,1.3078
-7.4243,1.1635
-7.9251,1.4159
-8.3183,1.3372
-7.9888,1.0338
-5.933,1.6215
-6.2458,1.5853
-5.74,1.2606
-5.9763,1.1362
-5.1972,1.3363
-4.883,1.4043
-4.5639,1.3281
-5.1054,1.9236
-4.7612,1.9897
-4.7533,0.7522
-4.6218,0.4828
-5.1529,0.3254
-4.6289,0.1547
-3.9628,0.2037
-3.0472,0.4565
-3.192,0.2535
-3.7289,0.8175
-3.4904,0.9555
-3.4773,1.4811
-3.1219,1.0437
-2.9762,0.8548
-3.9853,1.9175
-3.6834,1.9569
-3.3653,2.0222
-3.2654,1.6385
-2.9691,2.0306
-2.7813,2.2387
-2.3902,2.3086
-2.0344,2.2909
-1.7191,2.364
-1.4048,2.4306
-1.375,2.0312
-2.7891,2.8977
-1.4757,3.0104
-1.0659,2.9317
-0.772,2.9768
-0.4441,2.9551
-0.1308,2.8943
-4.3427,2.217
-5.2221,2.704
-5.0377,2.8795
-4.2967,3.2683
-4.0541,3.4064
-3.9023,3.6124
