electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,postcode,region,locality,owner,site_name
1.2,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ02,CZ020,14.4167,50.1833,Praha-východ,250 67,Středočeský,Klecany,"Povodí Vltavy, státní podnik",MVE Klecany
1.329,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.5,48.85,České Budějovice,373 24,Jihočeský,Římov,"Povodí Vltavy, státní podnik",MVE Římov
0.018,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.7333,48.7667,České Budějovice,373 35,Jihočeský,Horní Stropnice,"Povodí Vltavy, státní podnik",MVE Humenice
0.222,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ04,CZ041,13.1833,50.15,Karlovy Vary,364 52,Karlovarský,Žlutice,"Povodí Vltavy, státní podnik",MVE Žlutice
0.432,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,13.05,49.2833,Klatovy,340 22,Plzeňský,Nýrsko,"Povodí Vltavy, státní podnik",MVE Nýrsko
0.15,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,12.6,49.7833,Tachov,347 01,Plzeňský,Halže,"Povodí Vltavy, státní podnik",MVE Lučina
0.03,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ02,CZ020,14.4833,50.35,Mělník,276 01,Středočeský,Hořín,"Povodí Vltavy, státní podnik",MVE Hořín
0.055,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.6786,49.1893,Tábor,391 81,Jihočeský,Veselí nad Lužnicí,"Povodí Vltavy, státní podnik",MVE Veselí nad Lužnicí
0.165,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ06,CZ063,15.2333,49.5333,Pelhřimov,394 44,Vysočina,Želiv,"Povodí Vltavy, státní podnik",MVE Trnávka
4.98,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ02,CZ020,14.35,50.2,Praha-západ,252 66,Středočeský,Libčice nad Vltavou,"Povodí Vltavy, státní podnik",MVE Libčice - Dolany
1.296,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ01,CZ010,14.3889,50.1278,,160 00,Hlavní město Praha,Praha 6,"Povodí Vltavy, státní podnik",MVE Podbaba
0.3,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.2333,48.6333,Český Krumlov,382 78,Jihočeský,Lipno nad Vltavou,"Povodí Vltavy, státní podnik",MVE Lipno
0.16,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.3333,48.7167,Český Krumlov,382 11,Jihočeský,Větřní,"Povodí Vltavy, státní podnik",MVE Větřní
0.075,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ031,14.2667,48.6667,Český Krumlov,382 76,Jihočeský,Loučovice,"Povodí Vltavy, státní podnik",MVE Loučovice
5.67,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ01,CZ010,14.4001,50.1019,,170 00,Hlavní město Praha,Praha,"Povodí Vltavy, státní podnik",VE Štvanice
0.48,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ02,CZ020,15.15,49.75,Kutná Hora,285 22,Středočeský,Zruč nad Sázavou,"Povodí Vltavy, státní podnik",MVE Želivka
2.5,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ02,CZ020,14.3667,50.3167,Mělník,277 44,Středočeský,Vojkovice,"Povodí Vltavy, státní podnik",MVE Vraňany
2.8,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ01,CZ010,14.4001,50.1019,,170 00,Hlavní město Praha,Praha,"Povodí Vltavy, státní podnik",MVE Troja
0.266,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,13.3761,49.7468,Plzeň-město,301 00,Plzeňský,Plzeň,"Povodí Vltavy, státní podnik",MVE České Údolí
0.2,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,13.5333,49.75,Rokycany,338 41,Plzeňský,Klabava,"Povodí Vltavy, státní podnik",MVE Klabava
0.013,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ05,CZ051,15.4033,50.5653,Semily,512 02,Liberecký,Košťálov,,MVE Nosek Jaroslav
0.019,Renewable energy,Hydro,,Run-of-river,ERU,CZ0,CZ03,CZ032,12.7667,49.9,Tachov,348 15,Plzeňský,Planá,,MVE Černý Mlýn
