electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,municipality_code,postcode,address,commissioning_date,hub_height,rotor_diameter,model,gsrn_id,dso,manufacturer
0.4,Renewable energy,Wind,,Onshore,Energistyrelsen,DK0,DK04,DK041,8.28000820432192,56.25596186375252,Holstebro,661.0,,"Madum by, Madum 36a",1978-06-01,54.0,54.0,Ukendt-Tvind,570715000000041344,,Tvind
0.023,Renewable energy,Wind,,Onshore,Energistyrelsen,DK0,DK04,DK041,8.61100439052947,56.05884501696325,Ringkøbing-Skjern,760.0,,,1978-09-04,18.0,12.0,Ukendt-Ukendt,570715000000040064,,
0.019,Renewable energy,Wind,,Onshore,Energistyrelsen,DK0,DK04,DK042,10.43430839640286,56.34248376610078,Syddjurs,706.0,,,1979-01-02,20.0,10.0,18 SP,570715000000021440,,Odder
0.055,Renewable energy,Wind,,Onshore,Energistyrelsen,DK0,DK04,DK041,8.3990655481366,55.9861639464014,Ringkøbing-Skjern,760.0,,Dejbjerg Præstegård 3a,1979-08-16,19.0,16.0,V 55-16 kW,570715000000040768,,Vestas Wind Systems A/S
0.011,Renewable energy,Wind,,Onshore,Energistyrelsen,DK0,DK04,DK041,9.55986526806569,56.56817061864422,Viborg,791.0,,,1979-11-09,15.0,15.0,KE 15/4-Kuriant,570715000000014336,,Kuriant
0.022,Renewable energy,Wind,,Onshore,Energistyrelsen,DK0,DK03,DK032,8.3075664367149,55.65892440269854,Varde,573.0,,,1979-11-09,0.1,0.1,Ukendt-Ukendt,570715000000032768,,
0.055,Renewable energy,Wind,,Onshore,Energistyrelsen,DK0,DK04,DK042,9.68569948641276,55.94269058106291,Horsens,615.0,,Underup by / Underup sogn 5b,1980-01-03,23.0,15.3,V 15 55/15 ,570715000000026752,,Vestas Wind Systems A/S
0.03,Renewable energy,Wind,,Onshore,Energistyrelsen,DK0,DK04,DK042,10.59947195950021,55.80442082908555,Samsø,741.0,,"Brundby by, Tranebjerg 14l",1980-06-16,18.0,10.0,30-Sonebjerg,570715000000022016,,Sonebjerg
0.055,Renewable energy,Wind,,Onshore,Energistyrelsen,DK0,DK02,DK022,11.63196771507927,55.88691741323871,Odsherred,306.0,,"Nr. Asmindrup By, Nr. Asmindrup 5a",1980-06-27,22.0,15.0,V 55-16 ,570714700000005888,,Vestas Wind Systems A/S
0.055,Renewable energy,Wind,,Onshore,Energistyrelsen,DK0,DK05,DK050,9.903915304858,57.4228005056077,Hjørring,860.0,,"Sdr. Harritslev By, Harritslev 14a",1980-07-09,18.0,14.0,VM 18/7-55,570715000000002368,,Wind-Matic/Riisager Møllen
0.055,Renewable energy,Wind,,Onshore,Energistyrelsen,DK0,DK05,DK050,10.26333414090704,57.12153616737322,Brønderslev,810.0,,"Bolleenge, Dronninglund 1",1980-10-01,22.0,15.0,Ukendt-Vestas,570715000000011968,,Vestas Wind Systems A/S
0.055,Renewable energy,Wind,,Onshore,Energistyrelsen,DK0,DK01,DK014,14.79496538339973,55.21502861274382,Bornholm,400.0,,Klemensker 11a,1980-10-01,18.0,0.1,Ukendt-Vestas,570714700000011328,,Vestas Wind Systems A/S
0.022,Renewable energy,Wind,,Onshore,Energistyrelsen,DK0,DK02,DK022,11.41489936555613,55.95794471441793,Odsherred,306.0,,,1981-01-22,18.0,10.0,22-Kongsted,570714700000005888,,Kongsted
0.011,Renewable energy,Wind,,Onshore,Energistyrelsen,DK0,DK04,DK041,9.48327126788636,56.48651876339749,Viborg,791.0,,,1981-01-23,16.0,10.0,Ukendt-J S Dana,570715000000014208,,J S Dana
0.018,Renewable energy,Wind,,Onshore,Energistyrelsen,DK0,DK04,DK041,8.72238735760135,56.45030713111402,Holstebro,661.0,,,1981-02-15,19.0,10.8,KE 18/4 EH-Kuriant,570715000000036032,,Kuriant
