DateTime,RealPower,ReactivePower
2/29/2020 23:45,38.227,19.978
2/29/2020 23:30,38.303,19.869
2/29/2020 23:15,38.106,19.762
2/29/2020 23:00,37.992,19.803
2/29/2020 22:45,38.82,20.24
2/29/2020 22:30,38.577,20.188
2/29/2020 22:15,38.557,20.263
2/29/2020 22:00,39.308,21.657
2/29/2020 21:45,39.293,22.523
2/29/2020 21:30,33.462,24.426
2/29/2020 21:15,39.857,23.882
2/29/2020 21:00,38.279,25.38
2/29/2020 20:45,39.899,24.954
2/29/2020 20:30,40.433,24.839
2/29/2020 20:15,40.73,25.284
2/29/2020 20:00,39.888,25.759
2/29/2020 19:45,40.395,25.502
2/29/2020 19:30,40.972,25.488
2/29/2020 19:15,40.291,25.674
2/29/2020 19:00,38.31,25.608
2/29/2020 18:45,39.327,25.349
2/29/2020 18:30,41.646,25.444
2/29/2020 18:15,43.048,26.389
2/29/2020 18:00,42.161,28.844
2/29/2020 17:45,42.724,28.911
2/29/2020 17:30,42.583,28.738
2/29/2020 17:15,42.814,29.102
2/29/2020 17:00,36.89,30.24
2/29/2020 16:45,41.254,29.687
2/29/2020 16:30,43.098,29.418
2/29/2020 16:15,41.774,29.582
2/29/2020 16:00,42.824,29.514
2/29/2020 15:45,43.076,29.065
2/29/2020 15:30,43.468,28.913
2/29/2020 15:15,43.228,29.514
2/29/2020 15:00,43.721,29.082
2/29/2020 14:45,42.624,29.551
2/29/2020 14:30,44.359,29.629
2/29/2020 14:15,40.728,29.721
2/29/2020 14:00,41.233,30.325
2/29/2020 13:45,43.534,29.548
2/29/2020 13:30,40.593,30.103
2/29/2020 13:15,42.267,29.964
2/29/2020 13:00,42.912,29.464
2/29/2020 12:45,42.392,29.825
2/29/2020 12:30,42.37,29.502
2/29/2020 12:15,34.872,30.594
2/29/2020 12:00,39.129,30.476
2/29/2020 11:45,42.773,29.833
2/29/2020 11:30,41.949,29.779
2/29/2020 11:15,41.378,29.822
2/29/2020 11:00,42.061,29.692
2/29/2020 10:45,40.039,29.582
2/29/2020 10:30,39.281,29.536
2/29/2020 10:15,41.542,29.3
2/29/2020 10:00,38.944,29.892
2/29/2020 9:45,40.549,29.334
2/29/2020 9:30,41.046,29.324
2/29/2020 9:15,41.107,29.364
2/29/2020 9:00,41.139,29.522
2/29/2020 8:45,37.589,29.727
2/29/2020 8:30,35.989,30.11
2/29/2020 8:15,41.502,30.07
2/29/2020 8:00,41.304,30.083
2/29/2020 7:45,40.469,29.987
2/29/2020 7:30,34.671,30.828
2/29/2020 7:15,33.586,30.809
2/29/2020 7:00,33.731,30.961
2/29/2020 6:45,33.572,30.936
2/29/2020 6:30,40.309,29.968
2/29/2020 6:15,41.969,28.608
2/29/2020 6:00,36.597,23.202
2/29/2020 5:45,29.862,22.91
2/29/2020 5:30,21.813,15.75
2/29/2020 5:15,20.04,14.676
2/29/2020 5:00,20.206,14.815
2/29/2020 4:45,20.332,14.55
2/29/2020 4:30,19.801,14.64
2/29/2020 4:15,19.626,14.398
2/29/2020 4:00,20.047,14.631
2/29/2020 3:45,19.791,14.458
2/29/2020 3:30,19.886,14.62
2/29/2020 3:15,19.816,14.698
2/29/2020 3:00,19.715,14.514
2/29/2020 2:45,19.794,14.735
2/29/2020 2:30,19.948,14.647
2/29/2020 2:15,19.476,14.775
2/29/2020 2:00,19.121,14.729
2/29/2020 1:45,19.386,14.859
2/29/2020 1:30,19.494,14.703
2/29/2020 1:15,20.167,14.703
2/29/2020 1:00,19.705,14.541
2/29/2020 0:45,20.281,14.833
2/29/2020 0:30,20.421,14.456
2/29/2020 0:15,20.413,14.813
2/29/2020 0:00,34.215,25.115
2/28/2020 23:45,41.838,28.81
2/28/2020 23:30,36.989,29.23
2/28/2020 23:15,40.925,28.609
2/28/2020 23:00,43.312,30.142
2/28/2020 22:45,43.694,30.236
2/28/2020 22:30,43.761,30.375
2/28/2020 22:15,43.262,30.843
2/28/2020 22:00,46.349,32.009
2/28/2020 21:45,43.482,32.607
2/28/2020 21:30,44.446,32.37
2/28/2020 21:15,46.291,31.957
2/28/2020 21:00,47.037,34.199
