Time,"Campus Total Chilling Power, Qdot | MMBTU/hr","Chiller, Qdot | MMBTU/hr","TES_tank, Qdot | MMBTU/hr",Mdot_supply | lb/gallon,Mdot_return | lb/gallon,Vdot_supply | GPM,Vdot_return | GPM,Chiller Wdot | kW
2/29/2020 23:45,36.39,5.22,31.17,2983672.05,1245052.59,5960.43,2487.22,13.61
2/29/2020 23:30,32.58,5.25,27.33,2801460.93,976090.95,5596.43,1949.92,22.54
2/29/2020 23:15,34.61,5.25,29.36,2913841.14,1183230.96,5820.93,2363.72,13.66
2/29/2020 23:00,34.57,5.28,29.29,2856354.53,1323974.03,5706.09,2644.88,22.15
2/29/2020 22:45,34.35,5.32,29.03,2817309.29,1355009.99,5628.09,2706.88,13.47
2/29/2020 22:30,36.63,5.23,31.4,3113652.65,1214847.59,6220.09,2426.88,17.89
2/29/2020 22:15,39.65,5.21,34.44,3344725.39,1305452.57,6681.7,2607.88,16.18
2/29/2020 22:00,35.58,5.2,30.38,2972489.09,1343997.23,5938.09,2684.88,16.04
2/29/2020 21:45,38.92,5.37,33.55,3258125.05,1273916.03,6508.7,2544.88,26.35
2/29/2020 21:30,36.88,5.25,31.63,3116075.46,1282345.8,6224.93,2561.72,14.73
2/29/2020 21:15,34.28,5.23,29.05,2942454.29,1302949.67,5878.09,2602.88,16.38
2/29/2020 21:00,37.41,5.29,32.12,3089795.01,1556413.35,6172.43,3109.22,16.58
2/29/2020 20:45,34.6,5.23,29.37,2977660.08,1322136.9,5948.42,2641.21,14.62
2/29/2020 20:30,36.32,5.22,31.1,3259626.79,1167292.49,6511.7,2331.88,15.88
2/29/2020 20:15,34.87,5.3,29.57,3069101.03,1190319.17,6131.09,2377.88,15.9
2/29/2020 20:00,36.06,5.23,30.83,3234597.79,1303450.25,6461.7,2603.88,16.18
2/29/2020 19:45,35.76,5.26,30.5,3196553.71,1109575.62,6385.7,2216.58,14.31
2/29/2020 19:30,34.2,5.31,28.89,2916924.71,1147269.29,5827.09,2291.88,15.85
2/29/2020 19:15,39.71,5.32,34.39,2959974.59,1179306.41,5913.09,2355.88,15.9
2/29/2020 19:00,42.82,5.43,37.39,3135347.79,1416751.53,6263.43,2830.22,25.17
2/29/2020 18:45,44.95,5.34,39.61,3304678.99,1316465.33,6601.7,2629.88,15.85
2/29/2020 18:30,42.19,5.36,36.83,3137680.49,1057014.72,6268.09,2111.58,15.85
2/29/2020 18:15,41.76,5.38,36.38,2978496.05,1233869.63,5950.09,2464.88,15.85
2/29/2020 18:00,40.42,5.4,35.02,2995515.77,1325976.35,5984.09,2648.88,16.24
2/29/2020 17:45,43.32,5.51,37.81,3187237.91,1338490.85,6367.09,2673.88,14.95
2/29/2020 17:30,47.58,5.44,42.14,3543615.83,1361182.14,7079.02,2719.21,16.3
2/29/2020 17:15,42.41,5.52,36.89,3127834.08,1512357.3,6248.42,3021.21,14.81
2/29/2020 17:00,43.75,5.46,38.29,3221943.12,1422252.9,6436.42,2841.21,12.85
2/29/2020 16:45,42.96,5.51,37.45,3206925.72,1601460.54,6406.42,3199.21,24
2/29/2020 16:30,45.94,5.47,40.47,3549622.79,1607467.5,7091.02,3211.21,12.85
2/29/2020 16:15,41.91,5.55,36.36,3338077.68,1351170.54,6668.42,2699.21,13.24
2/29/2020 16:00,42.22,5.51,36.71,3362105.52,1576431.54,6716.42,3149.21,13.02
2/29/2020 15:45,42.17,5.58,36.59,3248974.44,1861762.14,6490.42,3719.21,14.62
2/29/2020 15:30,45.46,5.6,39.86,3414165.84,1657525.5,6820.42,3311.21,14.14
2/29/2020 15:15,46.82,5.63,41.19,3568644.83,1468306.26,7129.02,2933.21,13.69
2/29/2020 15:00,46.43,5.74,40.69,3496586.34,1509679.2,6985.07,3015.86,24.05
2/29/2020 14:45,48.1,5.81,42.29,3553952.81,1667862.48,7099.67,3331.86,25.34
2/29/2020 14:30,48.01,5.89,42.12,3483571.26,1913146.68,6959.07,3821.86,17.84
2/29/2020 14:15,49.9,5.86,44.04,3656071.13,1899455.82,7303.67,3794.51,16.07
2/29/2020 14:00,48.59,5.86,42.73,3664105.44,2028280.08,7319.72,4051.86,20.92
2/29/2020 13:45,46.69,5.96,40.73,3565991.76,1808024.88,7123.72,3611.86,18.79
2/29/2020 13:30,48.09,5.9,42.19,3652091.52,1935172.2,7295.72,3865.86,21.34
2/29/2020 13:15,52.01,5.94,46.07,4033833.83,2167441.32,8058.32,4329.86,27.1
2/29/2020 13:00,50.47,5.96,44.51,3895673.75,1970212.8,7782.32,3935.86,18
2/29/2020 12:45,49.25,5.89,43.36,3850296.17,2065323,7691.67,4125.86,17.89
2/29/2020 12:30,46.94,5.94,41,3700147.2,1855079.4,7391.72,3705.86,20.1
2/29/2020 12:15,49.42,5.99,43.43,3844289.21,1837058.52,7679.67,3669.86,18.23
2/29/2020 12:00,48.09,5.92,42.17,3593698.86,1832052.72,7179.07,3659.86,28.59
2/29/2020 11:45,48.89,5.87,43.02,3399799.2,1899455.82,6791.72,3794.51,20.41
2/29/2020 11:30,54.08,5.78,48.3,3743497.43,1886115.36,7478.32,3767.86,27.44
2/29/2020 11:15,54.05,5.68,48.37,3736188.96,2285202.76,7463.72,4565.11,28.17
2/29/2020 11:00,55.83,5.7,50.13,3658073.45,1689212.22,7307.67,3374.51,32.26
2/29/2020 10:45,53.97,5.64,48.33,3951738.71,2069653.02,7894.32,4134.51,18.9
2/29/2020 10:30,50.35,5.63,44.72,3749504.39,1951516.14,7490.32,3898.51,19.91
2/29/2020 10:15,45.67,5.61,40.06,3829271.81,1916150.16,7649.67,3827.86,18.28
2/29/2020 10:00,48.37,5.62,42.75,3900354.17,1778991.24,7791.67,3553.86,16.66
2/29/2020 9:45,43.08,5.63,37.45,3378449.46,1633823.04,6749.07,3263.86,10.39
2/29/2020 9:30,46.05,5.67,40.38,3475561.98,1856080.56,6943.07,3707.86,12.38
2/29/2020 9:15,43.5,5.62,37.88,3486549.71,1558410.66,6965.02,3113.21,14.2
2/29/2020 9:00,40.84,5.59,35.25,3489553.19,1558410.66,6971.02,3113.21,17.02
2/29/2020 8:45,38.24,5.51,32.73,3283013.88,1403230.86,6558.42,2803.21,15.29
2/29/2020 8:30,36.24,5.43,30.81,3054749.4,1410238.98,6102.42,2817.21,20.1
2/29/2020 8:15,41.73,5.42,36.31,3562637.87,1208355.07,7117.02,2413.91,26.74
2/29/2020 8:00,37.92,5.4,32.52,3167880.48,1701576.54,6328.42,3399.21,19.85
2/29/2020 7:45,37.57,5.3,32.27,3171524.71,1396883.51,6335.7,2790.53,20.64
2/29/2020 7:30,32.72,5.28,27.44,2627589.47,1464637.01,5249.09,2925.88,20.92
