,irradiance_w_m2
2025-03-20 02:35:10.647918,0.0
2025-03-20 02:36:10.647918,0.0
2025-03-20 02:37:10.647918,0.0
2025-03-20 02:38:10.647918,0.0
2025-03-20 02:39:10.647918,0.0
2025-03-20 02:40:10.647918,0.0
2025-03-20 02:41:10.647918,0.0
2025-03-20 02:42:10.647918,0.0
2025-03-20 02:43:10.647918,0.0
2025-03-20 02:44:10.647918,0.0
2025-03-20 02:45:10.647918,0.0
2025-03-20 02:46:10.647918,0.0
2025-03-20 02:47:10.647918,0.0
2025-03-20 02:48:10.647918,0.0
2025-03-20 02:49:10.647918,0.0
2025-03-20 02:50:10.647918,0.0
2025-03-20 02:51:10.647918,0.0
2025-03-20 02:52:10.647918,0.0
2025-03-20 02:53:10.647918,0.0
2025-03-20 02:54:10.647918,0.0
2025-03-20 02:55:10.647918,0.0
2025-03-20 02:56:10.647918,0.0
2025-03-20 02:57:10.647918,0.0
2025-03-20 02:58:10.647918,0.0
2025-03-20 02:59:10.647918,0.0
2025-03-20 03:00:10.647918,0.0
2025-03-20 03:01:10.647918,0.0
2025-03-20 03:02:10.647918,0.0
2025-03-20 03:03:10.647918,0.0
2025-03-20 03:04:10.647918,0.0
2025-03-20 03:05:10.647918,0.0
2025-03-20 03:06:10.647918,0.0
2025-03-20 03:07:10.647918,0.0
2025-03-20 03:08:10.647918,0.0
2025-03-20 03:09:10.647918,0.0
2025-03-20 03:10:10.647918,0.0
2025-03-20 03:11:10.647918,0.0
2025-03-20 03:12:10.647918,0.0
2025-03-20 03:13:10.647918,0.0
2025-03-20 03:14:10.647918,0.0
2025-03-20 03:15:10.647918,0.0
2025-03-20 03:16:10.647918,0.0
2025-03-20 03:17:10.647918,0.0
2025-03-20 03:18:10.647918,0.0
2025-03-20 03:19:10.647918,0.0
2025-03-20 03:20:10.647918,0.0
2025-03-20 03:21:10.647918,0.0
2025-03-20 03:22:10.647918,0.0
2025-03-20 03:23:10.647918,0.0
2025-03-20 03:24:10.647918,0.0
2025-03-20 03:25:10.647918,0.0
2025-03-20 03:26:10.647918,0.0
2025-03-20 03:27:10.647918,0.0
2025-03-20 03:28:10.647918,0.0
2025-03-20 03:29:10.647918,0.0
2025-03-20 03:30:10.647918,0.0
2025-03-20 03:31:10.647918,0.0
2025-03-20 03:32:10.647918,0.0
2025-03-20 03:33:10.647918,0.0
2025-03-20 03:34:10.647918,0.0
2025-03-20 03:35:10.647918,0.0
2025-03-20 03:36:10.647918,0.0
2025-03-20 03:37:10.647918,0.0
2025-03-20 03:38:10.647918,0.0
2025-03-20 03:39:10.647918,0.0
2025-03-20 03:40:10.647918,0.0
2025-03-20 03:41:10.647918,0.0
2025-03-20 03:42:10.647918,0.0
2025-03-20 03:43:10.647918,0.0
2025-03-20 03:44:10.647918,0.0
2025-03-20 03:45:10.647918,0.0
2025-03-20 03:46:10.647918,0.0
2025-03-20 03:47:10.647918,0.0
2025-03-20 03:48:10.647918,0.0
2025-03-20 03:49:10.647918,0.0
2025-03-20 03:50:10.647918,0.0
2025-03-20 03:51:10.647918,0.0
2025-03-20 03:52:10.647918,0.0
2025-03-20 03:53:10.647918,0.0
2025-03-20 03:54:10.647918,0.0
2025-03-20 03:55:10.647918,0.0
2025-03-20 03:56:10.647918,0.0
2025-03-20 03:57:10.647918,0.0
2025-03-20 03:58:10.647918,0.0
2025-03-20 03:59:10.647918,0.0
2025-03-20 04:00:10.647918,0.0
2025-03-20 04:01:10.647918,0.0
2025-03-20 04:02:10.647918,0.0
2025-03-20 04:03:10.647918,0.0
2025-03-20 04:04:10.647918,0.0
2025-03-20 04:05:10.647918,0.0
2025-03-20 04:06:10.647918,0.0
2025-03-20 04:07:10.647918,0.0
2025-03-20 04:08:10.647918,0.0
2025-03-20 04:09:10.647918,0.0
2025-03-20 04:10:10.647918,0.0
2025-03-20 04:11:10.647918,0.0
2025-03-20 04:12:10.647918,0.0
2025-03-20 04:13:10.647918,0.0
2025-03-20 04:14:10.647918,0.0
2025-03-20 04:15:10.647918,0.0
2025-03-20 04:16:10.647918,0.0
2025-03-20 04:17:10.647918,0.0
2025-03-20 04:18:10.647918,0.0
2025-03-20 04:19:10.647918,0.0
2025-03-20 04:20:10.647918,0.0
2025-03-20 04:21:10.647918,0.0
2025-03-20 04:22:10.647918,0.0
2025-03-20 04:23:10.647918,0.0
2025-03-20 04:24:10.647918,0.0
2025-03-20 04:25:10.647918,0.0
2025-03-20 04:26:10.647918,0.0
2025-03-20 04:27:10.647918,0.0
2025-03-20 04:28:10.647918,0.0
2025-03-20 04:29:10.647918,0.0
2025-03-20 04:30:10.647918,0.0
2025-03-20 04:31:10.647918,0.0
2025-03-20 04:32:10.647918,0.0
2025-03-20 04:33:10.647918,0.0
2025-03-20 04:34:10.647918,0.0
2025-03-20 04:35:10.647918,0.0
2025-03-20 04:36:10.647918,0.0
2025-03-20 04:37:10.647918,0.0
2025-03-20 04:38:10.647918,0.0
2025-03-20 04:39:10.647918,0.0
2025-03-20 04:40:10.647918,0.0
2025-03-20 04:41:10.647918,0.0
2025-03-20 04:42:10.647918,0.0
2025-03-20 04:43:10.647918,0.0
